start_time,end_time,dx_range,dy_range,dz_range
0.35200000000000004,0.655,"(-0.024700000000000017, 0.040000000000000015)","(-0.04309999999999998, 0.013199999999999991)","(-0.05039999999999998, 0.007599999999999996)"
1.229,5.252999999999999,"(-0.0334, 0.05209999999999998)","(-0.0577, 0.0227)","(-0.07390000000000001, 0.019799999999999984)"
0.35200000000000004,0.594,"(-0.024700000000000017, 0.040000000000000015)","(-0.04309999999999998, 0.013199999999999991)","(-0.05039999999999998, 0.007599999999999996)"
1.351,11.486,"(-0.0354, 0.05519999999999997)","(-0.0578, 0.029700000000000008)","(-0.07390000000000001, 0.023799999999999988)"
1.351,11.485999999999999,"(-0.0354, 0.05519999999999997)","(-0.0578, 0.029700000000000008)","(-0.07390000000000001, 0.023799999999999988)"
1.351,17.718,"(-0.037100000000000015, 0.056200000000000035)","(-0.061299999999999986, 0.0305)","(-0.0757, 0.023799999999999988)"
1.351,20.561999999999998,"(-0.038500000000000006, 0.056200000000000035)","(-0.061299999999999986, 0.0305)","(-0.0757, 0.023799999999999988)"
1.351,27.006,"(-0.038500000000000006, 0.056200000000000035)","(-0.061299999999999986, 0.0305)","(-0.0757, 0.023799999999999988)"
5.7070000000000025,27.097,"(-0.038500000000000006, 0.056200000000000035)","(-0.061299999999999986, 0.0305)","(-0.0757, 0.023799999999999988)"
27.641,35.69,"(-0.03530000000000001, 0.05699999999999999)","(-0.05750000000000001, 0.030200000000000005)","(-0.0771, 0.025599999999999984)"
5.7070000000000025,27.096999999999998,"(-0.038500000000000006, 0.056200000000000035)","(-0.061299999999999986, 0.0305)","(-0.0757, 0.023799999999999988)"
12.151,27.097,"(-0.038500000000000006, 0.056200000000000035)","(-0.06030000000000001, 0.0305)","(-0.07540000000000001, 0.022400000000000003)"
27.641,29.215,"(-0.029599999999999987, 0.05699999999999999)","(-0.0532, 0.0262)","(-0.0654, 0.025599999999999984)"
29.76,36.809,"(-0.03530000000000001, 0.05529999999999999)","(-0.05750000000000001, 0.030200000000000005)","(-0.0771, 0.020500000000000015)"
37.354,42.13399999999999,"(-0.03839999999999999, 0.05359999999999998)","(-0.0587, 0.029100000000000018)","(-0.07490000000000001, 0.01910000000000001)"
12.151,27.096999999999998,"(-0.038500000000000006, 0.056200000000000035)","(-0.06030000000000001, 0.0305)","(-0.07540000000000001, 0.022400000000000003)"
21.228,27.097,"(-0.037599999999999995, 0.05250000000000002)","(-0.0587, 0.027900000000000008)","(-0.07540000000000001, 0.021600000000000008)"
29.76,51.119,"(-0.03839999999999999, 0.05529999999999999)","(-0.05939999999999999, 0.030200000000000005)","(-0.0771, 0.02410000000000001)"
21.228,27.096999999999998,"(-0.037599999999999995, 0.05250000000000002)","(-0.0587, 0.027900000000000008)","(-0.07540000000000001, 0.021600000000000008)"
37.354,57.261,"(-0.03839999999999999, 0.0539)","(-0.05939999999999999, 0.0305)","(-0.07490000000000001, 0.02410000000000001)"
37.354,66.973,"(-0.0391, 0.055999999999999994)","(-0.05980000000000001, 0.031300000000000015)","(-0.07629999999999999, 0.028200000000000006)"
43.889,73.62899999999998,"(-0.0391, 0.055999999999999994)","(-0.06119999999999999, 0.031300000000000015)","(-0.07629999999999999, 0.028200000000000006)"
43.888999999999996,73.62899999999998,"(-0.0391, 0.055999999999999994)","(-0.06119999999999999, 0.031300000000000015)","(-0.07629999999999999, 0.028200000000000006)"
52.601000000000006,82.221,"(-0.0391, 0.055999999999999994)","(-0.06119999999999999, 0.031300000000000015)","(-0.07629999999999999, 0.028200000000000006)"
59.257,89.24,"(-0.0391, 0.055999999999999994)","(-0.06119999999999999, 0.031300000000000015)","(-0.07629999999999999, 0.028200000000000006)"
68.60600000000001,98.467,"(-0.0412, 0.054999999999999966)","(-0.06119999999999999, 0.028599999999999987)","(-0.0761, 0.023799999999999988)"
68.60600000000001,98.46700000000001,"(-0.0412, 0.054999999999999966)","(-0.06119999999999999, 0.028599999999999987)","(-0.0761, 0.023799999999999988)"
75.383,105.305,"(-0.0412, 0.052999999999999985)","(-0.06039999999999999, 0.028599999999999987)","(-0.0761, 0.023799999999999988)"
81.616,111.538,"(-0.0412, 0.054999999999999986)","(-0.06039999999999999, 0.029700000000000008)","(-0.0761, 0.023799999999999988)"
84.853,114.715,"(-0.0412, 0.054999999999999986)","(-0.06039999999999999, 0.029700000000000008)","(-0.0761, 0.0232)"
91.207,120.856,"(-0.0412, 0.054999999999999986)","(-0.06039999999999999, 0.029700000000000008)","(-0.07529999999999999, 0.0232)"
91.20700000000001,120.85600000000001,"(-0.0412, 0.054999999999999986)","(-0.06039999999999999, 0.029700000000000008)","(-0.07529999999999999, 0.0232)"
97.106,121.371,"(-0.0398, 0.054999999999999986)","(-0.06000000000000001, 0.029700000000000008)","(-0.07529999999999999, 0.0232)"
121.915,127.089,"(-0.03480000000000001, 0.05259999999999998)","(-0.059600000000000014, 0.028200000000000006)","(-0.07329999999999999, 0.02299999999999999)"
97.10600000000001,121.37100000000001,"(-0.0398, 0.054999999999999986)","(-0.06000000000000001, 0.029700000000000008)","(-0.07529999999999999, 0.0232)"
107.151,121.371,"(-0.0398, 0.05329999999999998)","(-0.057700000000000015, 0.029700000000000008)","(-0.07529999999999999, 0.02260000000000001)"
121.915,136.921,"(-0.042900000000000015, 0.05259999999999998)","(-0.059600000000000014, 0.028200000000000006)","(-0.0788, 0.02299999999999999)"
107.15100000000001,121.37100000000001,"(-0.0398, 0.05329999999999998)","(-0.057700000000000015, 0.029700000000000008)","(-0.07529999999999999, 0.02260000000000001)"
112.869,121.371,"(-0.0398, 0.05329999999999998)","(-0.0576, 0.02839999999999998)","(-0.07529999999999999, 0.01669999999999999)"
121.915,142.851,"(-0.042900000000000015, 0.05259999999999998)","(-0.059600000000000014, 0.028200000000000006)","(-0.0788, 0.02299999999999999)"
116.318,121.37100000000001,"(-0.03520000000000001, 0.0469)","(-0.05729999999999999, 0.0222)","(-0.07440000000000001, 0.014500000000000013)"
121.915,146.24,"(-0.042900000000000015, 0.05259999999999998)","(-0.059600000000000014, 0.0285)","(-0.079, 0.02299999999999999)"
122.974,152.532,"(-0.042900000000000015, 0.05259999999999998)","(-0.0612, 0.0285)","(-0.079, 0.02299999999999999)"
122.97399999999999,152.532,"(-0.042900000000000015, 0.05259999999999998)","(-0.0612, 0.0285)","(-0.079, 0.02299999999999999)"
128.692,158.674,"(-0.040999999999999995, 0.05250000000000002)","(-0.06480000000000001, 0.0285)","(-0.079, 0.022299999999999983)"
131.32399999999998,161.30700000000004,"(-0.040999999999999995, 0.05250000000000002)","(-0.06480000000000001, 0.0285)","(-0.079, 0.022299999999999983)"
137.92,167.75099999999995,"(-0.040999999999999995, 0.056300000000000024)","(-0.06480000000000001, 0.0285)","(-0.079, 0.021799999999999986)"
144.031,174.013,"(-0.040999999999999995, 0.056300000000000024)","(-0.06480000000000001, 0.029200000000000007)","(-0.079, 0.026800000000000015)"
146.966,176.766,"(-0.040999999999999995, 0.056300000000000024)","(-0.06480000000000001, 0.029200000000000007)","(-0.07819999999999999, 0.026800000000000015)"
153.44,183.392,"(-0.040999999999999995, 0.056300000000000024)","(-0.06480000000000001, 0.029200000000000007)","(-0.07719999999999999, 0.026800000000000015)"
159.733,189.716,"(-0.038099999999999995, 0.056300000000000024)","(-0.0611, 0.029200000000000007)","(-0.07719999999999999, 0.026800000000000015)"
159.733,189.71599999999998,"(-0.038099999999999995, 0.056300000000000024)","(-0.0611, 0.029200000000000007)","(-0.07719999999999999, 0.026800000000000015)"
168.71900000000005,198.519,"(-0.038099999999999995, 0.055400000000000005)","(-0.0611, 0.029799999999999993)","(-0.07619999999999999, 0.026800000000000015)"
175.859,205.78,"(-0.037099999999999994, 0.055400000000000005)","(-0.0611, 0.029799999999999993)","(-0.0792, 0.0255)"
184.845,214.767,"(-0.03929999999999999, 0.0527)","(-0.0611, 0.029799999999999993)","(-0.0792, 0.0247)"
191.259,220.968,"(-0.03929999999999999, 0.05629999999999999)","(-0.061, 0.02889999999999998)","(-0.0792, 0.026399999999999983)"
194.132,223.993,"(-0.03929999999999999, 0.05629999999999999)","(-0.061, 0.02889999999999998)","(-0.0792, 0.026399999999999983)"
200.153,230.014,"(-0.03929999999999999, 0.05629999999999999)","(-0.061999999999999986, 0.030299999999999994)","(-0.0767, 0.026399999999999983)"
205.932,235.884,"(-0.039900000000000005, 0.05629999999999999)","(-0.061999999999999986, 0.030299999999999994)","(-0.0767, 0.026399999999999983)"
209.229,239.21200000000002,"(-0.039900000000000005, 0.05629999999999999)","(-0.061999999999999986, 0.030299999999999994)","(-0.0767, 0.026399999999999983)"
215.613,245.565,"(-0.039900000000000005, 0.05579999999999999)","(-0.061999999999999986, 0.030299999999999994)","(-0.0767, 0.026399999999999983)"
221.634,246.171,"(-0.039900000000000005, 0.054899999999999984)","(-0.061999999999999986, 0.030299999999999994)","(-0.0767, 0.025300000000000017)"
246.715,251.525,"(-0.03839999999999999, 0.0529)","(-0.05619999999999998, 0.029)","(-0.0748, 0.02100000000000002)"
224.75099999999998,246.171,"(-0.039900000000000005, 0.054899999999999984)","(-0.061999999999999986, 0.030299999999999994)","(-0.0761, 0.025300000000000017)"
246.715,252.827,"(-0.03839999999999999, 0.0529)","(-0.05619999999999998, 0.029)","(-0.0748, 0.02100000000000002)"
253.37099999999998,254.157,"(-0.027499999999999997, 0.0504)","(-0.05900000000000001, 0.026399999999999983)","(-0.07050000000000001, 0.014299999999999981)"
230.68,260.541,"(-0.039900000000000005, 0.054899999999999984)","(-0.0605, 0.029)","(-0.0751, 0.025300000000000017)"
237.457,246.171,"(-0.0372, 0.05410000000000001)","(-0.0586, 0.028799999999999992)","(-0.07490000000000001, 0.025300000000000017)"
253.371,267.409,"(-0.04229999999999999, 0.0532)","(-0.05980000000000001, 0.03)","(-0.0762, 0.0222)"
240.11900000000003,246.171,"(-0.0372, 0.05410000000000001)","(-0.0586, 0.02679999999999999)","(-0.07490000000000001, 0.025300000000000017)"
253.37099999999998,270.041,"(-0.04229999999999999, 0.0532)","(-0.05980000000000001, 0.03)","(-0.0785, 0.0222)"
253.371,276.335,"(-0.04229999999999999, 0.05550000000000002)","(-0.05980000000000001, 0.03)","(-0.0785, 0.0222)"
253.37099999999998,276.335,"(-0.04229999999999999, 0.05550000000000002)","(-0.05980000000000001, 0.03)","(-0.0785, 0.0222)"
253.371,280.177,"(-0.04229999999999999, 0.05550000000000002)","(-0.060799999999999986, 0.03)","(-0.0785, 0.0222)"
280.721,283.0209999999999,"(-0.0325, 0.05279999999999998)","(-0.055400000000000005, 0.0255)","(-0.067, 0.015999999999999986)"
